de	ORG
la	ORG
Viuda	ORG
de	ORG
Joseph	ORG
de	ORG
Orga	ORG
,	O
donde	O
se	O
hallarà	O
...	O
,	O
1767	O
Barcelona	LOC
:	O
por	O
Francisco	PERS
Suriá	PERS
y	PERS
Burgada	PERS
...	O
:	O
A	O
costas	O
de	O
la	O
Compañia	O
,	O
-LSB-	O
entre	O
1770	O
?	O
i	O
1799	O
-RSB-	O
Basileae	LOC
:	O
Nicolaus	PERS
Kesler	O
,	O
-LSB-	O
c.	O
1496	O
-RSB-	O
Lugduni	LOC
:	O
Johannes	O
de	O
Prato	O
,	O
6	O
mars	O
,	O
22	O
mars	O
,	O
1493/94	O
Venetiis	LOC
:	O
Georgius	O
Arrivabene	O
,	O
7	O
juli	O
,	O
1489	O
Venetiis	LOC
:	O
Paganinus	O
de	O
Paganinis	O
,	O
3	O
octubre	O
,	O
1489	O
Friburgi	O
:	O
Kilianus	O
Fischer	O
,	O
1494	O
Friburgi	O
:	O
-LSB-	O
Kilianus	O
Fischer	O
-RSB-	O
,	O
1494	O
Valentiae	LOC
:	O
Per	O
Ioannem	O
Baptistam	O
Marçal	O
...	O
,	O
1635	O
-LSB-	O
Valencia	LOC
?	O
:	O
s.n.	O
,	O
1634	O
?	O
-RSB-	O
En	O
Valencia	LOC
:	O
por	O
Joseph	O
Thomàs	O
Lucas	O
...	O
,	O
1756	O
-LSB-	O
Çaragoça	LOC
:	O
en	O
casa	O
de	O
George	O
Coci	O
,	O
1539	O
-RSB-	O
En	O
Valencia	LOC
:	O
por	O
Juan	O
Gonçalez	O
...	O
:	O
vendense	O
en	O
la	O
Porteria	O
de	O
dicho	O
Convento	O
,	O
1731	O
En	O
Valencia	LOC
:	O
Per	O
Iuan	PERS
Batiste	O
Marçal	O
...	O
,	O
1628	O
En	O
Valencia	LOC
:	O
En	O
la	O
Imprenta	ORG
de	ORG
Joseph	ORG
y	O
Thomas	O
de	O
Orga	O
,	O
1783	O
En	O
Valencia	LOC
:	O
En	O
casa	O
de	O
Pere	O
Patricio	O
Mey	O
...	O
,	O
1623	O
En	O
Valencia	LOC
:	O
por	O
Joseph	O
Garcia	O
,	O
1724	O
En	O
Valencia	LOC
:	O
En	O
la	O
Imprenta	O
de	O
la	O
Real	O
Junta	O
Particular	O
de	O
Comercio	O
,	O
y	O
Consulado	O
,	O
por	O
la	O
Viuda	O
de	O
Joseph	O
de	O
Orga	O
,	O
1766	O
Estampat	O
en	O
Barcelona	LOC
:	O
per	O
manament	O
dels	O
...	O
Senyors	O
Deputats	O
,	O
y	O
Oydors	O
de	O
Comtes	O
del	O
general	O
de	O
Cathalunya	O
:	O
per	O
Gabriel	O
Noguès	O
...	O
,	O
1640	O
Valentiae	LOC
:	O
Per	O
Bernardum	O
Noguès	O
,	O
1656	O
Romae	LOC
:	O
Ex	O
Typographia	O
Reuerendae	O
Camerae	O
Apostolicae	O
,	O
1698	O
En	O
Zaragoça	LOC
:	O
Por	O
los	O
Herederos	O
de	O
Diego	O
Dormer	O
,	O
1685	O
Valentiae	LOC
:	O
per	O
Bernardum	O
Noguès	O
...	O
,	O
1653	O
In	O
Roma	LOC
:	O
per	O
il	O
Tinassi	O
,	O
1695	O
Valencia	LOC
:	O
Imprenta	O
de	O
José	O
Gimeno	O
:	O
Véndese	O
en	O
su	O
librería	O
...	O
,	O
1824	O
Salmanticae	LOC
:	O
excudebat	O
Ioannes	O
Iunta	O
,	O
1552	O
-LSB-	O
Valencia	LOC
-RSB-	O
:	O
-LSB-	O
S.	O
n.	O
-RSB-	O
,	O
-LSB-	O
1596	O
-RSB-	O
En	O
Valencia	LOC
:	O
En	O
la	O
Fundicion	O
,	O
è	O
Imprenta	O
de	O
D.	O
Manuel	O
Peleguer	O
,	O
en	O
la	O
Plateria	O
,	O
1784	O
En	O
Valencia	LOC
:	O
en	O
la	O
imprenta	O
de	O
Benito	PERS
Monfort	PERS
:	O
Se	O
hallarà	O
en	O
la	O
libreria	O
de	O
Manuel	O
Cavero	O
...	O
,	O
1773	O
En	O
Valencia	LOC
:	O
en	O
la	O
Imprenta	O
de	O
Iayme	O
de	O
Bordazar	O
...	O
,	O
1686	O
En	O
Valencia	LOC
:	O
En	O
casa	O
de	O
Pedro	O
Patricio	O
Mey	O
...	O
,	O
1614	O
En	O
Valencia	LOC
:	O
en	O
la	O
imprenta	O
de	O
Benito	PERS
Monfort	PERS
...	O
,	O
1771	O
En	O
Valencia	LOC
:	O
En	O
la	O
Imprenta	O
de	O
Salvador	O
Faulí	O
,	O
1811	O
En	O
Valencia	LOC
:	O
Y	O
Oficina	O
de	O
D.	O
Benito	PERS
Monfort	PERS
:	O
Se	O
hallará	O
en	O
la	O
Librería	O
de	O
Manuel	O
Lopez	O
,	O
plaza	O
del	O
Colegio	O
del	O
Beato	O
Ribera	O
,	O
1808	O
Valencia	LOC
:	O
En	O
la	O
Imprenta	O
de	O
Estevan	O
:	O
-LSB-	O
Véndese	O
en	O
la	O
Librería	O
de	O
Cabrerizo	O
-RSB-	O
,	O
1820	O
Impressa	O
en	O
Valencia	LOC
:	O
en	O
la	O
imprenta	O
de	O
Jayme	O
de	O
Bordazar	O
,	O
1704	O
Valencia	LOC
:	O
En	O
la	O
Imprenta	O
de	O
José	PERS
Estévan	PERS
,	O
1811	O
-LSB-	O
Valencia	LOC
?	O
:	O
s.n.	O
,	O
-LSB-	O
1811	O
?	O
-RSB-	O
Valencia	LOC
:	O
En	O
la	O
Oficina	O
de	O
D.	O
Benito	PERS
Monfort	PERS
,	O
1811	O
-LSB-	O
Valencia	LOC
?	O
:	O
s.n.	O
,	O
1809	O
?	O
-RSB-	O
En	O
Valencia	LOC
:	O
Por	O
los	O
yernos	O
de	O
Josef	O
Estévan	O
...	O
,	O
1811	O
En	O
Murcia	LOC
:	O
Por	O
la	O
Viuda	O
de	O
Muñiz	O
,	O
é	O
Hijo	O
,	O
1809	O
Cadiz	LOC
:	O
Impreso	O
por	O
Don	O
Antonio	O
de	O
Murguia	O
,	O
1811	O
Cadiz	LOC
:	O
En	O
la	O
Imprenta	ORG
Real	ORG
,	O
1811	O
En	O
Valencia	LOC
:	O
En	O
la	O
imprenta	O
del	O
Diario	O
:	O
Se	O
hallará	O
de	O
venta	O
en	O
la	O
misma	O
,	O
-LSB-	O
1797	O
-RSB-	O
Valencia	LOC
:	O
en	O
la	O
Imprenta	O
de	O
D.	O
Benito	PERS
Monfort	PERS
,	O
1797	O
En	O
Valencia	LOC
:	O
Por	O
los	O
Hermanos	O
de	O
Orga	O
,	O
1798	O
-LSB-	O
València	LOC
?	O
:	O
s.n.	O
-RSB-	O
,	O
-LSB-	O
1611	O
-RSB-	O
-LSB-	O
Valencia	LOC
?	O
-RSB-	O
:	O
-LSB-	O
s.	O
n.	O
-RSB-	O
,	O
-LSB-	O
1616	O
-RSB-	O
-LSB-	O
Valencia	LOC
?	O
-RSB-	O
:	O
-LSB-	O
s.	O
n.	O
-RSB-	O
,	O
-LSB-	O
1627	O
-RSB-	O
-LSB-	O
Valencia	LOC
?	O
-RSB-	O
:	O
-LSB-	O
s.	O
n.	O
-RSB-	O
,	O
-LSB-	O
1627	O
-RSB-	O
en	O
Valencia	LOC
:	O
por	O
Francisco	O
Mestre	O
...	O
,	O
1681	O
Barcelona	LOC
:	O
En	O
la	O
Oficina	O
de	O
Pablo	O
Nadal	O
...	O
:	O
a	O
costa	O
de	O
la	O
Compañia	O
,	O
-LSB-	O
entre	O
1797	O
i	O
1799	O
-RSB-	O
Barcelona	LOC
:	O
Por	O
Joseph	PERS
Padrino	PERS
...	O
:	O
A	O
costa	O
de	O
la	O
Compañia	O
,	O
-LSB-	O
entre	O
1760	O
i	O
1801	O
-RSB-	O
Barcelona	LOC
:	O
En	O
la	O
Imprenta	O
de	O
Carlos	O
Gibért	O
y	O
Tutó	O
...	O
,	O
-LSB-	O
entre	O
1779	O
i	O
1800	O
-RSB-	O
Se	O
hallará	O
...	O
en	O
Salamanca	LOC
;	O
-LSB-	O
Madrid	LOC
-RSB-	O
:	O
en	O
la	O
Imprenta	O
de	O
la	O
Santa	O
Cruz	O
:	O
por	O
Don	O
Francisco	O
de	O
Toxar	O
,	O
y	O
en	O
Madrid	LOC
en	O
la	O
Libreria	O
de	O
Don	O
Manuel	O
Quiroga	O
,	O
calle	O
de	O
la	O
Concepcion	O
Geronima	O
,	O
1792	O
Puteoli	O
:	O
ex	O
typographia	O
Haeredum	O
Caualli	O
,	O
1663	O
En	O
Murcia	LOC
:	O
a	O
expensas	O
de	O
Francisco	O
Benedito	O
...	O
,	O
1774	O
En	O
Valencia	LOC
:	O
Imprenta	O
de	O
D.	O
Francisco	O
Brusola	O
,	O
...	O
,	O
1815	O
Valencia	LOC
:	O
en	O
la	O
Imprenta	ORG
de	ORG
Joseph	ORG
de	O
Orga	O
:	O
Se	O
hallará	O
en	O
la	O
Librería	O
de	O
Mallén	O
,	O
1803	O
Valencia	LOC
:	O
Por	O
Salvador	O
Faulí	O
,	O
1813	O
Jaen	LOC
:	O
Por	O
D.	O
Pedro	O
de	O
Doblas	O
,	O
Impresor	O
1785	O
En	O
Valencia	LOC
Por	O
Benito	O
Manfort	O
,	O
-LSB-	O
sic	O
-RSB-	O
...	O
,	O
1760	O
En	O
Valencia	LOC
:	O
por	O
Joseph	O
Thomàs	O
Lucas	O
...	O
,	O
1747	O
Valentiae	LOC
:	O
Typis	O
Antonii	O
Bordazar	O
...	O
,	O
1727	O
en	O
Zaragoza	LOC
:	O
En	O
la	O
Imprenta	O
de	O
Francisco	O
Moreno	O
...	O
,	O
-LSB-	O
1746	O
?	O
-RSB-	O
En	O
Orihuela	LOC
:	O
Juan	O
Vicente	O
Frãco	O
.	O
Y	O
vendese	O
en	O
su	O
casa	O
...	O
,	O
1628	O
En	O
Valencia	LOC
:	O
Por	O
José	O
Ferrer	O
de	O
Orga	O
:	O
Se	O
hallará	O
en	O
la	O
Librería	O
de	O
José	O
Cárlos	O
Navarro	O
...	O
,	O
1813	O
En	O
Valencia	LOC
:	O
Por	O
José	O
Ferrer	O
de	O
Orga	O
:	O
Se	O
hallará	O
en	O
la	O
Librería	O
de	O
José	O
Cárlos	O
Navarro	O
...	O
,	O
1815	O
En	O
Valencia	LOC
:	O
Por	O
José	O
Ferrer	O
de	O
Orga	O
:	O
Se	O
hallará	O
en	O
la	O
Librería	O
de	O
José	O
Cárlos	O
Navarro	O
...	O
,	O
1814	O
En	O
Valencia	LOC
:	O
Por	O
José	O
Ferrer	O
de	O
Orga	O
:	O
Se	O
hallará	O
en	O
la	O
Librería	O
de	O
José	O
Cárlos	O
Navarro	O
...	O
,	O
1816	O
Valencia	LOC
:	O
En	O
la	O
Imprenta	O
de	O
Martin	O
Peris	O
:	O
Se	O
hallará	O
en	O
la	O
librería	O
de	O
la	O
Viuda	O
de	O
Navarro	O
...	O
,	O
1820	O
En	O
Valencia	LOC
:	O
Por	O
Jose	O
Ferrer	O
de	O
Orga	O
:	O
Se	O
hallará	O
en	O
la	O
Librería	O
de	O
José	O
Carlos	O
Navarro	O
...	O
,	O
1812	O
En	O
Valencia	LOC
:	O
en	O
la	O
Imprenta	O
del	O
Diario	O
:	O
Se	O
hallará	O
...	O
en	O
la	O
Librería	O
de	O
Joseph	O
Jorge	O
...	O
,	O
-LSB-	O
ca.	O
1803	O
-RSB-	O
Se	O
hallará	O
...	O
en	O
Salamanca	LOC
:	O
en	O
la	O
Imprenta	O
de	O
D.	O
Francisco	O
de	O
Tóxar	O
,	O
-LSB-	O
entre	O
1786	O
i	O
1803	O
-RSB-	O
Valencia	LOC
:	O
Imprenta	O
de	O
José	O
Gimeno	O
:	O
Se	O
hallará	O
en	O
su	O
libreria	O
,	O
frente	O
al	O
Miguelete	O
...	O
,	O
1822	O
Valencia	LOC
:	O
Imprenta	O
de	O
Domingo	O
y	O
Mompié	O
:	O
Se	O
hallará	O
en	O
su	O
misma	O
librería	O
,	O
calle	O
de	O
Caballeros	O
...	O
,	O
1818	O
Valencia	LOC
:	O
Imprenta	O
de	O
Domingo	O
y	O
Mompié	O
,	O
1821	O
En	O
Valencia	LOC
:	O
Por	O
José	O
Ferrer	O
de	O
Orga	O
:	O
Se	O
hallará	O
en	O
la	O
Librería	O
de	O
José	O
Carlos	O
Navarro	O
...	O
,	O
1815	O
Valencia	LOC
:	O
Imprenta	O
de	O
Domingo	O
y	O
Mompié	O
:	O
Se	O
hallará	O
en	O
su	O
librería	O
,	O
calle	O
de	O
Caballeros	O
...	O
,	O
1821	O
Valencia	LOC
:	O
Imprenta	O
de	O
Ildefonso	O
Mompié	O
:	O
Se	O
hallará	O
en	O
su	O
librería	O
...	O
,	O
1822	O
Valencia	LOC
:	O
Imprenta	O
de	O
Ildefonso	O
Mompié	O
:	O
Se	O
hallará	O
en	O
la	O
librería	O
de	O
Ildefonso	O
Mompié	O
,	O
calle	O
de	O
Caballeros	O
...	O
,	O
1818	O
Valencia	LOC
:	O
Imprenta	O
de	O
Ildefonso	O
Mompié	O
:	O
Se	O
hallará	O
en	O
la	O
misma	O
imprenta	O
y	O
librería	O
,	O
calle	O
nueva	O
de	O
S.	O
Fernando	O
...	O
,	O
1822	O
En	O
Valencia	LOC
:	O
Por	O
José	O
Ferrer	O
de	O
Orga	O
:	O
Se	O
hallará	O
en	O
la	O
Librería	O
de	O
José	O
Cárlos	O
Navarro	O
...	O
,	O
-LSB-	O
entre	O
1811	O
i	O
1816	O
-RSB-	O
En	O
Valencia	LOC
:	O
en	O
la	O
emprenta	O
de	O
Pere	O
Patricio	O
Mey	O
...	O
,	O
1624	O
En	O
Valencia	LOC
:	O
en	O
la	O
Impressio	O
de	O
Patricio	O
Mey	O
...	O
,	O
1625	O
En	O
Valencia	LOC
:	O
Por	O
Iuan	PERS
Buatista	O
Marçal	O
...	O
,	O
1629	O
En	O
Valencia	LOC
:	O
En	O
la	O
Oficina	O
de	O
Salvador	O
Faulí	O
,	O
1801	O
En	O
Valencia	LOC
:	O
en	O
la	O
imprenta	O
de	O
Francisco	O
Mestre	O
...	O
,	O
-LSB-	O
entre	O
1702	O
i	O
1709	O
-RSB-	O
En	O
Valencia	LOC
:	O
por	O
Diego	O
de	O
Vega	O
...	O
,	O
1701	O
Madrid	LOC
:	O
Imprenta	O
de	O
don	O
Norberto	O
Llorenci	O
,	O
1827	O
En	O
Valencia	LOC
:	O
En	O
la	O
Oficina	O
del	O
Diario	O
:	O
Se	O
hallará	O
de	O
venta	O
en	O
el	O
Despacho	O
Principal	O
del	O
mismo	O
,	O
1796	O
En	O
Valencia	LOC
:	O
En	O
la	O
Oficina	O
del	O
Diario	O
,	O
-LSB-	O
1797	O
?	O
-RSB-	O
En	O
Valencia	LOC
:	O
En	O
la	O
Imprenta	ORG
de	ORG
los	ORG
Hermanos	ORG
de	ORG
Orga	ORG
,	O
1796	O
En	O
Valencia	LOC
:	O
Por	O
D.	O
Benito	PERS
Monfort	PERS
,	O
1797	O
En	O
Valencia	LOC
:	O
En	O
la	O
Imprenta	O
de	O
Benito	PERS
Monfort	PERS
...	O
,	O
-LSB-	O
ca.	O
1768	O
-RSB-	O
Romae	LOC
:	O
Typis	O
Reverendae	O
Camerae	O
Apostolicae	O
,	O
1715	O
Valentiae	LOC
:	O
Typographiae	O
Vincentij	O
Cabrera	O
,	O
-LSB-	O
1713	O
?	O
-RSB-	O
Valentiae	LOC
:	O
apud	O
Antonium	O
Bal-le	O
...	O
,	O
-LSB-	O
entre	O
1720	O
i	O
1723	O
?	O
-RSB-	O
Con	O
licencia	O
,	O
impresso	O
en	O
Valencia	LOC
:	O
-LSB-	O
s.n.	O
,	O
1731	O
?	O
-RSB-	O
En	O
Cordoba	LOC
:	O
en	O
la	O
Oficina	O
de	O
D.	O
Luis	O
de	O
Ramos	O
...	O
,	O
1798	O
En	O
Valencia	LOC
:	O
en	O
la	O
Imprenta	O
de	O
Josef	O
y	O
Tomas	O
de	O
Orga	O
,	O
1790	O
En	O
Sevilla	LOC
:	O
por	O
D.	O
Josef	O
Padrino	O
en	O
calle	O
Genova	LOC
,	O
-LSB-	O
ca.	O
1771	O
-RSB-	O
Valencia	LOC
:	O
por	O
Joseph	O
Estévan	O
y	O
hermanos	O
...	O
,	O
1808	O
Valencia	LOC
:	O
Imprenta	O
de	O
D.	O
Benito	PERS
Monfort	PERS
,	O
1828	O
-LSB-	O
València	LOC
?	O
:	O
s.n.	O
,	O
n.a.	O
1717	O
-RSB-	O
-LSB-	O
València	LOC
?	O
:	O
s.n.	O
,	O
n.a.	O
1707	O
-RSB-	O
-LSB-	O
València	LOC
?	O
:	O
s.n.	O
,	O
ca.	O
1715	O
-RSB-	O
En	O
Valencia	LOC
:	O
Por	O
Joseph	O
Th	O
.	O
Lucas	O
...	O
,	O
1764	O
-LSB-	O
València	LOC
-RSB-	O
:	O
En	O
la	O
Imprenta	ORG
de	ORG
Joseph	ORG
Garcia	O
,	O
en	O
la	O
Plaza	O
de	O
Calatrava	O
,	O
-LSB-	O
n.a.	O
1739	O
-RSB-	O
En	O
Barcelona	LOC
:	O
Por	O
Maria	O
Teresa	O
Vendrell	O
y	O
Teixidó	O
,	O
1759	O
En	O
Valencia	LOC
:	O
por	O
Benito	PERS
Monfort	PERS
...	O
,	O
1759	O
-LSB-	O
València	LOC
?	O
:	O
s.n.	O
,	O
n.a.	O
1738	O
-RSB-	O
En	O
Valencia	LOC
:	O
Se	O
hallarà	O
en	O
casa	O
Francisco	O
Roveda	O
...	O
,	O
-LSB-	O
ca.	O
1732	O
-RSB-	O
En	O
Valencia	LOC
:	O
por	O
Antonio	O
Bordazar	O
...	O
,	O
1716	O
-LSB-	O
València	LOC
?	O
:	O
s.n.	O
,	O
n.a.	O
1743	O
-RSB-	O
Valentiae	LOC
:	O
Apud	O
Martinum	O
Antonium	O
Peris	O
,	O
1787	O
En	O
Valencia	LOC
:	O
En	O
la	O
Imprenta	O
de	O
Salvador	O
Faulí	O
...	O
,	O
-LSB-	O
ca.	O
1788	O
-RSB-	O
-LSB-	O
Barcinonae	O
:	O
s.n.	O
,	O
1780	O
o	O
post	O
.	O
-RSB-	O
Gerona	O
:	O
en	O
la	O
imprenta	O
de	O
Narciso	O
Oliva	O
...	O
,	O
-LSB-	O
1795	O
?	O
-RSB-	O
Barcelona	LOC
:	O
Diputació	O
de	O
Barcelona	LOC
:	O
Associació	O
de	O
Bibliòfils	O
de	O
Barcelona	LOC
,	O
2001	O
.	O
Buenos	LOC
Aires	LOC
:	O
-LSB-	O
s.n.	O
-RSB-	O
,	O
1898-1927	O
Año	O
1	O
-LRB-	O
1898	O
-RRB-	O
-	O
año	O
30	O
-LRB-	O
1927	O
-RRB-	O
Buenos	LOC
Aires	LOC
:	O
-LSB-	O
s.n.	O
-RSB-	O
,	O
1865-1929	O
Buenos	LOC
Aires	LOC
,	O
1935-1964	O
La	LOC
Habana	LOC
:	O
Imprenta	O
deGalicia	O
''	O
,	O
1902-1930	O
.	O
Año	O
1	O
,	O
n.	O
1	O
-LRB-	O
jul.	O
1902	O
-RRB-	O
-	O
año	O
1	O
,	O
n.	O
23	O
-LRB-	O
dic	O
.	O
1902	O
-RRB-	O
Buenos	LOC
Aires	LOC
:	O
César	O
Cisneros	O
Luces	O
,	O
1879-1880	O
.	O
Año	O
1	O
,	O
n.	O
1	O
-LRB-	O
27	O
de	O
abril	O
de	O
1879	O
-RRB-	O
-	O
Año	O
2	O
,	O
n.	O
21	O
-LRB-	O
14	O
de	O
noviembre	O
de	O
1880	O
-RRB-	O
Cádiz	LOC
,	O
1870	O
Barcelona	LOC
,	O
Imprenta	O
de	O
Sierra	O
y	O
Martí	O
,	O
1826	O
.	O
Namur	O
,	O
Auguste	O
Godenne	O
,	O
imprimeur-éditeur	O
,	O
1907	O
.	O
Barcelona	LOC
,	O
I.G.	O
Seix	O
&	O
Barral	O
Herms	O
,	O
1928	O
.	O
Oviedo	LOC
.	O
Ecuador	LOC
,	O
Editorial	O
Ecuatoriana	O
,	O
1932	O
Murcia	LOC
:	O
Universidad	O
de	O
Murcia	LOC
Barcelona	LOC
,	O
Institut	O
del	O
Teatre	O
.	O
Diputació	O
de	O
Barcelona	LOC
,	O
1987	O
Murcia	LOC
,	O
Universidad	O
de	O
Murcia	LOC
Oviedo	LOC
:	O
Secretariado	O
de	O
Publicaciones	O
de	O
la	O
Universidad	O
de	O
Oviedo	LOC
Francofurti	LOC
:	O
impensis	O
Ioannis	O
Godofredi	O
Schönvvetten	O
,	O
1648	O
.	O
Alcalá	LOC
de	LOC
Henares	LOC
,	O
ca.	O
1600	O
.	O
In	O
Roma	LOC
:	O
appresso	O
Giacomo	O
Mascardi	O
,	O
1613	O
.	O
In	O
Parigi	O
:	O
nella	O
stamperia	O
di	O
Andrea	O
Francesco	O
Le	O
breton	O
...	O
,	O
1760	O
.	O
A	O
Paris	LOC
:	O
-LSB-	O
s.n.	O
-RSB-	O
,	O
1760	O
.	O
In	O
Bologna	O
:	O
presso	O
gli	O
heredi	O
di	O
Euangelista	O
Dozza	O
,	O
1647	O
.	O
Cádiz	LOC
:	O
José	O
Niel	O
,	O
1818	O
En	O
Cadiz	LOC
:	O
Por	O
D.	O
Manuel	O
Espinosa	O
de	O
los	O
Monteros	O
...	O
,	O
Año	O
de	O
1765	O
.	O
A	O
Paris	LOC
:	O
chez	O
Lerouge	O
,	O
1803	O
En	O
Cadiz	LOC
:	O
En	O
la	O
Imprenta	O
de	O
D.	O
Manuel	O
Ximenez	O
Carreño	O
,	O
1786	O
Cádiz	LOC
:	O
imprenta	O
de	O
...	O
.	O
Pedro	O
Gómez	O
de	O
Requena	O
,	O
-LSB-	O
1759	O
?	O
-RSB-	O
Antuerpiae	LOC
:	O
Ex	O
architypographia	O
Plantiniana	O
,	O
1750	O
-LSB-	O
Cádiz	LOC
-RSB-	O
:	O
,	O
Pedro	O
Gómez	O
de	O
Requena	O
-LSB-	O
1757	O
-RSB-	O
Cádiz	LOC
:	O
,	O
En	O
la	O
Imprenta	ORG
Real	ORG
de	O
Marina	O
1768	O
-LSB-	O
s.l.	O
Cádiz	LOC
-RSB-	O
:	O
-LSB-	O
s.n.	O
-RSB-	O
,	O
-LSB-	O
1759	O
?	O
-RSB-	O
Zaragoza	LOC
:	O
en	O
la	O
imprenta	O
de	O
Pedro	O
Ximénez	O
,	O
a	O
costa	O
de	O
Juan	O
Oliveras	O
,	O
1731	O
En	O
Zaragoza	LOC
:	O
por	O
Pedro	O
Ximenez	O
:	O
a	O
costa	O
de	O
Don	O
Juan	O
Oliveras	O
...	O
,	O
1732	O
Valentiae	LOC
:	O
Typis	O
Salvatoris	O
Faulì	O
,	O
1773	O
Cádiz	LOC
:	O
en	O
la	O
Imprenta	ORG
Real	ORG
,	O
1812	O
?	O
.	O
Barcelona	LOC
:	O
por	O
Carlos	O
Gibért	O
y	O
Tutó	O
...	O
,	O
1782	O
Cádiz	LOC
:	O
En	O
la	O
imprenta	O
de	O
D.	O
Manuel	O
Ximénez	O
Carreño	O
,	O
1788	O
Cadiz	LOC
,	O
Manuel	O
Ximenez	O
Carreño	O
-LSB-	O
1759	O
-RSB-	O
Paris	LOC
:	O
Chez	O
Crevot	O
;	O
-LSB-	O
Lachevardierie	O
fils	O
-RSB-	O
,	O
1826	O
Lugduni	LOC
Batavorum	O
:	O
Petrus	O
Vander	O
Aa.	O
,	O
1723	O
En	O
dicha	O
ciudad	O
-LSB-	O
Cadiz	LOC
-RSB-	O
:	O
en	O
la	O
imprenta	O
de	O
D.	O
Manuel	O
Bosch	O
...	O
,	O
1817	O
Petropoli	O
-LRB-	O
San	O
Petersburgo	O
-RRB-	O
,	O
1784-1788	O
-LRB-	O
E	O
Typographia	O
Imperiali	O
J.	O
J.	O
Weitbrecht	O
-RRB-	O
Barcelona	LOC
:	O
en	O
la	O
imprenta	O
de	O
Juan	O
Piferrer	O
,	O
1732	O
Lugduni	LOC
Batavorum	O
,	O
:	O
Apud	O
Theodorum	O
Haak	O
,	O
MDCCLXIV	O
.	O
-LSB-	O
1764	O
-RSB-	O
.	O
Paris	LOC
:	O
Mme.	O
Ve	O
.	O
Courcier	O
...	O
,	O
1812	O
Valencia	LOC
:	O
-LSB-	O
Impr	O
.	O
de	O
Cabrerizo	O
-RSB-	O
,	O
1842	O
Valencia	LOC
:	O
Ildefonso	O
Mompié	O
,	O
1831	O
València	LOC
:	O
Impr	O
.	O
de	O
José	O
de	O
Orga	O
,	O
1831	O
Valencia	LOC
:	O
Impr	O
.	O
de	O
Cabrerizo	O
,	O
1832	O
Basileae	LOC
:	O
-LSB-	O
per	O
Nic	O
.	O
Episcopium	O
iuniorem	O
-RSB-	O
,	O
1555	O
En	O
Valencia	LOC
:	O
por	O
Joseph	O
i	O
Thomas	O
de	O
Orga	O
,	O
1786	O
Barcelona	LOC
:	O
Impr	O
.	O
de	O
D.J.M.	O
de	O
Grau	O
,	O
1844	O
Barcelona	LOC
:	O
Impr	O
.	O
y	O
Fundición	O
de	O
Pons	O
y	O
Ca.	O
,	O
1848	O
Paris	LOC
:	O
Maisonneuve	O
,	O
1876	O
Barcelona	LOC
,	O
Impr	O
.	O
del	O
Diario	O
de	O
Barcelona	LOC
,	O
1857	O
.	O
-LSB-	O
Breslau	O
:	O
s.n.	O
,	O
1546	O
-RSB-	O
Valentiae	LOC
Edetanorum	O
:	O
typis	O
Ant	O
.	O
Bordazar	O
de	O
Artâzu	O
,	O
1732	O
En	O
Valencia	LOC
:	O
por	O
la	O
viuda	O
de	O
Josef	O
de	O
Orga	O
,	O
1768	O
En	O
Valencia	LOC
:	O
por	O
Josef	O
Estevan	O
Dolz	O
,	O
1768	O
-LSB-	O
València	LOC
:	O
Lope	O
de	O
la	O
Roca	O
,	O
a	O
despes	O
.	O
de	O
Miquel	O
Albert	O
-RSB-	O
,	O
sexta	O
Nouembris	O
1495	O
Barcelona	LOC
,	O
Impr	O
.	O
de	O
A.	O
Bergnes	O
y	O
Comp.	O
,	O
1832	O
.	O
Barcelona	LOC
,	O
per	O
Carles	PERS
Amoros	PERS
y	O
ha	O
despesas	O
de	O
...	O
Jaume	O
Manescal	O
y	O
...	O
Raphael	O
Deuder	O
Major	O
y	O
...	O
Jonot	O
Gordiola	O
y	O
...	O
Jonot	O
Trinxer	O
...	O
,	O
15	O
noembre	O
1546	O
-LSB-	O
i.e.	O
1547	O
-RSB-	O
.	O
Impresso	O
en	O
...	O
Valencia	LOC
:	O
en	O
casa	O
de	O
Joan	O
de	O
Mey	O
,	O
Flandro	O
,	O
1546	O
.	O
Valencia	LOC
,	O
en	O
casa	O
de	O
Ioan	O
de	O
Mey	O
Flandro	O
,	O
1551	O
.	O
Impressum	O
est	O
hoc	O
opus	O
Venetiis	LOC
:	O
impendio	O
p	O
-LSB-	O
ro	O
-RSB-	O
uidoru	O
-LSB-	O
m	O
-RSB-	O
uiroru	O
-LSB-	O
m	O
-RSB-	O
Ioh	O
-LSB-	O
ann	O
-RSB-	O
is	O
de	O
Colonia	LOC
Ioh	O
-LSB-	O
ann	O
-RSB-	O
isq	O
-LSB-	O
ue	O
-RSB-	O
Ma	O
-LSB-	O
n	O
-RSB-	O
then	O
de	O
Gheretzem	O
sociorum	O
,	O
1478	O
xxvii	O
Augusti	O
Alcalá	LOC
de	LOC
Henares	LOC
,	O
en	O
casa	O
de	O
Juan	O
de	O
Brocar	O
,	O
14	O
de	O
julio	O
1539	O
.	O
Valencia	LOC
,	O
por	O
...	O
Juan	O
Jofre	O
...	O
,	O
1524	O
IX	O
d	O
-LSB-	O
e	O
-RSB-	O
Junio	O
.	O
Lugduni	LOC
,	O
Seb	O
.	O
Gryphive	O
,	O
1544	O
.	O
Espanya	LOC
.	O
Saragossa	LOC
Salamanca	LOC
,	O
